Energy, Magnetisation
4392,-1266
2944,-962
2280,-696
2128,-542
1928,-386
1880,-316
1736,-238
1744,-274
1928,-158
1792,-42
1944,-88
1744,2
1784,-100
1784,-12
1648,32
1600,30
1816,42
1640,122
1624,188
1688,146
1688,-76
1824,-80
1616,2
1664,94
1936,110
1912,112
1752,174
2048,126
2008,84
1696,34
1976,12
1992,-6
1960,-44
1904,-86
1824,-90
1968,-62
1888,-128
1856,-110
1848,-78
1792,-60
1704,-2
1664,78
1728,84
1744,80
1576,-16
1704,-72
1736,-56
1728,-58
1736,-54
1928,-44
1720,-128
1872,-96
1936,-88
1880,-92
1952,-16
2016,32
1864,86
1840,40
1704,44
1920,-40
1880,-26
1792,22
1728,-8
1976,6
1736,-26
1976,-94
1680,-64
1680,-84
2008,-180
2000,-50
1888,-44
1776,-86
1664,-58
1608,-70
1608,-56
1784,26
1512,52
1696,-58
1624,14
1696,-28
1720,40
1744,6
1680,-2
1712,-42
1640,-38
1616,12
1760,76
1776,6
1928,-14
1864,-88
1944,-102
1728,-118
1720,-132
1848,-114
1816,-92
1784,-68
1936,-20
1744,8
1496,76
1824,2
1952,34
1768,92
1472,80
1712,28
1592,48
1680,164
1768,226
1752,128
1736,72
1688,-22
1824,28
1744,-6
1520,-80
1816,-60
1640,-26
1664,-40
1888,-70
1816,-106
1976,-116
1864,-64
1760,-58
1744,-66
1624,-32
1632,-48
1712,-104
1760,-94
1816,-126
1840,-154
1712,-170
1840,-268
1992,-222
1760,-144
1584,-164
1840,-146
1928,-154
1960,-206
2008,-152
1992,-88
2016,2
2096,28
1816,56
1776,-4
1816,14
1800,-12
2104,-36
1768,-34
1624,-44
1904,-98
1704,48
1656,-6
1800,4
1848,26
1592,40
1712,36
1800,-160
1584,-90
1736,-36
1712,10
1832,26
2016,132
2168,122
1824,98
2000,50
1912,82
1600,102
1904,52
1936,4
1808,44
1600,34
1656,70
1824,38
1856,4
1928,56
1824,-2
1784,6
1832,50
1728,58
1600,34
1672,30
1712,52
1656,44
1600,60
1688,20
1600,74
1880,106
1904,112
1832,106
1832,120
1816,126
2032,138
1864,16
1816,62
1848,6
1992,-2
2032,-62
2000,-52
1744,-136
2016,-52
1720,-54
1568,-22
1776,-20
2032,-56
2048,-2
1848,-98
1656,-84
1696,28
1792,-8
1736,-64
1864,44
1712,-46
1696,-86
1680,-114
1752,-72
1744,-130
1848,-134
2016,-96
1880,-62
1816,-70
1680,-38
1696,-14
1728,16
1752,-44
1528,-146
1696,4
1608,-74
1816,-218
1784,-186
1600,-194
1728,-102
1792,-38
1616,-84
1768,-130
1792,-80
1848,-98
1624,-36
1704,24
1672,34
1640,-30
1808,-74
1800,-110
1736,-112
1680,-58
1648,32
1544,0
1760,-52
1784,-172
1944,-116
1968,-86
1920,-48
1712,-152
2112,18
1856,-2
1912,34
1968,-82
1648,-62
1864,-60
1776,-164
1648,-196
1768,-178
1736,-102
1680,-138
1952,-108
1720,4
1528,10
1936,20
1864,0
1784,-24
1576,58
1832,48
1896,-24
1920,10
1784,20
1704,-16
2024,-64
1992,-138
1760,-110
1536,-112
1760,-104
1872,-88
2040,-130
2008,-164
1824,-92
1536,-30
1720,-62
1848,-86
1912,-12
1800,-32
1840,90
1688,64
1648,30
1704,60
1608,26
1696,12
1672,68
1672,68
1592,46
1776,120
1952,68
2088,78
1928,76
1912,136
1808,144
1792,114
1640,126
1704,82
1560,12
1792,40
1648,64
1856,68
1664,56
1712,8
1600,12
1536,-4
1816,-2
1896,4
1672,12
1704,118
1760,40
1712,112
1672,90
1768,40
1824,-14
1864,-82
1984,-56
2016,-58
1816,-32
1768,-54
1640,-4
1872,-14
1928,-56
2112,106
2200,44
1864,66
2120,-6
2000,-6
1816,50
1520,58
1800,190
1656,116
1664,56
1840,52
1912,66
1480,-24
1360,-48
1528,-12
1776,54
1624,-24
1768,88
1976,-14
1816,-26
1872,-30
1880,-8
1944,-38
1832,-56
1896,-52
1840,30
1888,18
1928,-6
1768,-76
1904,-70
1784,-38
1568,-20
1448,-26
1784,-72
1640,10
1752,34
1608,58
1504,-22
1920,-76
1744,-62
1864,-84
1688,60
1968,-8
1776,18
1688,36
2008,-2
1752,84
1808,58
1696,124
1672,106
1912,112
1720,-36
1832,-88
1976,14
2096,26
1960,-156
1840,-80
1704,-70
1704,-80
1808,-40
1928,22
1760,-78
1736,12
1544,-30
1752,-62
2008,-78
1896,-98
1688,-58
1712,-62
1576,70
1560,30
1632,0
1688,-66
1816,-92
1992,12
1856,158
1760,72
1968,-18
1784,0
1936,-82
1632,-94
1856,-96
1768,-110
1856,-84
1880,-142
1824,-154
1864,-136
1808,-20
1824,-34
1896,-4
1792,-54
1920,0
1784,24
1760,94
1752,110
1896,118
